genre,name,link,note
Puzzle,Candy Crush Saga,https://www.king.com/game/candycrush,
Puzzle,Royal Match,https://dreamgames.com/games/royal-match,
Puzzle,Block Blast!,https://www.blockblast.com/,
Simulation,Hay Day,https://supercell.com/en/games/hayday/,
Simulation,Township,https://playrix.com/games/township,
Simulation,AdVenture Capitalist,https://www.hyperhippo.com/games/adventure-capitalist,
Arcade,Subway Surfers,https://subwaysurfers.com/,
Arcade,Geometry Dash,https://www.robtopgames.com/,
Arcade,Crossy Road,https://www.crossyroad.com/,
RPG,Genshin Impact,https://genshin.hoyoverse.com/en/,
RPG,Honkai: Star Rail,https://hsr.hoyoverse.com/en-us/,
RPG,Fate/Grand Order,https://fate-go.us/,
Strategy,Clash of Clans,https://supercell.com/en/games/clashofclans/,
Strategy,Mobile Legends: Bang Bang,https://m.mobilelegends.com/en,
Strategy,Last War: Survival,https://www.lastwar.com/,
Casino,Coin Master,https://apps.apple.com/us/app/coin-master/id406889139,
Casino,Slotomania,https://www.slotomania.com/,
Casino,Bingo Blitz,https://www.bingoblitz.com/,
Lifestyle,Toca Boca World,https://www.tocaboca.com/toca-boca-world,
Lifestyle,ZEPETO,https://zepeto.me/,
Lifestyle,My Talking Tom 2,https://outfit7.com/apps/my-talking-tom-2/,
Tabletop,Microsoft Solitaire Collection,https://www.microsoft.com/en-us/p/microsoft-solitaire-collection/9wzdncrfhwd2,
Tabletop,Chess.com,https://www.chess.com/,
Tabletop,피망 뉴맞고 (Pmang New Matgo),https://gostop.pmang.com/,
Sports,EA Sports FC Mobile,https://www.ea.com/games/ea-sports-fc/fc-mobile,
Sports,8 Ball Pool,https://www.miniclip.com/games/8-ball-pool/,
Sports,Football Manager,https://www.footballmanager.com/,
Shooter,Call of Duty: Mobile,https://www.callofduty.com/mobile,
Shooter,PUBG Mobile,https://www.pubgmobile.com/,
Shooter,Free Fire,https://ff.garena.com/,
Racing,Asphalt Legends Unite,https://www.gameloft.com/game/asphalt-9,
Racing,Mario Kart Tour,https://mariokarttour.com/,
Racing,Real Racing 3,https://www.ea.com/games/real-racing/real-racing-3,
Action,Archero 2,https://archero2.habby.com/,
Action,Honkai Impact 3rd,https://honkaiimpact3.hoyoverse.com/global/en-us/home,
Action,Grand Theft Auto: San Andreas,https://www.rockstargames.com/games/sanandreas,
Geolocation,Pokémon GO,https://pokemongolive.com/,
Geolocation,Ingress,https://ingress.com/,
Geolocation,Monster Hunter Now,https://monsterhunternow.com/,
Adventure & narrative,Life is Strange,https://lifeisstrange.square-enix-games.com/,
Adventure & narrative,Firewatch,https://www.firewatchgame.com/,
Adventure & narrative,Return to Monkey Island,https://returntomonkeyisland.com/,
Survival & crafting,Rust,https://rust.facepunch.com/,
Survival & crafting,Valheim,https://www.valheimgame.com/,
Survival & crafting,ARK: Survival Ascended,https://playark.com/,
Fighting,Street Fighter 6,https://www.streetfighter.com/6/,
Fighting,Tekken 8,https://tekken.com/,
Fighting,Super Smash Bros. Ultimate,https://www.smashbros.com/en_US/,
Platformer,Super Mario Bros. Wonder,https://www.nintendo.com/us/store/products/super-mario-bros-wonder-switch/,
Platformer,Hollow Knight,https://www.hollowknight.com/,
Platformer,Celeste,https://www.celestegame.com/,
Horror,Resident Evil Village,https://www.residentevil.com/village/,
Horror,Phasmophobia,https://www.kineticgames.co.uk/,
Horror,Five Nights at Freddy's,https://scottgames.com/,
Roguelike & roguelite,Hades,https://www.supergiantgames.com/games/hades/,
Roguelike & roguelite,Slay the Spire,https://www.megacrit.com/,
Roguelike & roguelite,Balatro,https://www.playbalatro.com/,
Party & social deduction,Among Us,https://www.innersloth.com/games/among-us/,
Party & social deduction,Fall Guys,https://www.fallguys.com/,
Party & social deduction,The Jackbox Party Pack,https://www.jackboxgames.com/games/,
Visual novel,Steins;Gate,https://steinsgate.jp/,
Visual novel,逆転裁判 (Ace Attorney),https://www.ace-attorney.com/,
Visual novel,Doki Doki Literature Club,https://ddlc.moe/,
Rhythm & music,太鼓の達人 (Taiko no Tatsujin),https://taiko-ch.net/,
Rhythm & music,プロジェクトセカイ (Project SEKAI: Colorful Stage),https://pjsekai.sega.jp/,
Rhythm & music,DJMAX RESPECT V,https://djmaxrespect.com/,
MMO,World of Warcraft,https://worldofwarcraft.blizzard.com/,
MMO,Final Fantasy XIV Online,https://www.finalfantasyxiv.com/,
MMO,리니지W (Lineage W),https://lineagew.plaync.com/,
Sandbox & UGC platform,Roblox,https://www.roblox.com/,
Sandbox & UGC platform,Minecraft,https://www.minecraft.net/,
Sandbox & UGC platform,Fortnite Creative,https://www.fortnite.com/creative,
"Simulation, vehicle and management",Microsoft Flight Simulator,https://www.flightsimulator.com/,
"Simulation, vehicle and management",Farming Simulator 25,https://www.farming-simulator.com/,
"Simulation, vehicle and management",iRacing,https://www.iracing.com/,
Educational & kids,Khan Academy Kids,https://www.khanacademy.org/kids,
Educational & kids,ABCmouse,https://www.abcmouse.com/,
Educational & kids,PBS Kids Games,https://pbskids.org/games/,
Indie,Stardew Valley,https://www.stardewvalley.net/,
Indie,Undertale,https://undertale.com/,
Indie,Vampire Survivors,https://poncle.games/,
Pinball,Pinball FX,https://zenstudios.com/games/pinball-fx/,
Pinball,Zaccaria Pinball,https://www.zaccariapinball.com/,
Pinball,Pinball M,https://zenstudios.com/games/pinball-m/,
Quiz and trivia,Trivia Crack,https://www.triviacrack.com/,
Quiz and trivia,Kahoot!,https://kahoot.com/,
Quiz and trivia,Jeopardy! World Tour,https://www.jeopardy.com/play/jeopardy-world-tour,
Word,Wordle,https://www.nytimes.com/games/wordle/index.html,
Word,Words With Friends 2,https://www.zynga.com/games/words-with-friends-2/,
Word,Wordscapes,https://play.google.com/store/apps/details?id=com.peoplefun.wordcross,
