name,segment,definition,local_terms,subgenres
Puzzle,"Mobile, cross-platform","Logic and pattern games solved one problem at a time, covering matching, sorting, words, physics and riddles. Short sessions, low commitment.","CN: 解谜 (jiěmí), with 益智 (yìzhì) for brain-training puzzles. KR: 퍼즐 (peojeul). JP: パズル (pazuru).","Match Swap, Match Pair, Sort, Riddle, Word, Physics, Block, Match Merge, Trivia"
Simulation,Mobile,"Games that model a system to build, manage or inhabit, covering creative sandboxes, light tycoon and management, idle loops and life sims.","CN: 模拟经营 (mónǐ jīngyíng) for the management strain. KR: 시뮬레이션 (simyulleisyeon). JP: シミュレーション (shimyurēshon), but see the JP note on Strategy.","Sandbox, Simulator, Idler, Tycoon/Crafting, Driving/Flight"
Arcade,Mobile,"Fast, reflex-driven single-session games with simple controls, covering endless runners, rhythm and casual action.","KR: 아케이드 (akeideu). CN: 休闲 (xiūxián), casual, covers much of the same ground. The JP App Store has no Arcade category either.","Platformer/Runner, Other Arcade, Music/Rhythm, Arcade Combat"
RPG,"Mobile, PC, console","Character progression, collection and persistent advancement, usually gacha-monetised on mobile.",CN: 角色扮演 (juésè bànyǎn). KR: 롤플레잉 (rolpeulleing). JP: ロールプレイング (rōrupureingu). JP trade press often writes ソーシャルゲーム (sōsharu gēmu) or スマホゲーム (sumaho gēmu) for the segment.,"Idle RPG, MMORPG, Squad RPG, Puzzle RPG, Turn-based RPG, Open-World Adventure"
Strategy,"Mobile, PC","Planning, resource management and competition, covering base-building, real-time tactics, 4X empire, tower defense and card battlers.","CN: 策略 (cèlüè), with 塔防 (tǎfáng) for tower defense. KR: 전략 (jeollyak). JP: ストラテジー (sutoratejī), though JP usage often files turn-based strategy under シミュレーション as SLG.","MOBA, 4X, RTS, Build & Battle, Tower Defense, Card Battler"
Casino,Mobile,"Social-casino and chance-based games, covering slots, poker, bingo, coin-pusher, dice and board formats, and mahjong. Gambling-adjacent with no real-money payout.","CN: 棋牌 (qípái), the board-and-card category where CN gambling-adjacent play files. KR: 카지노 (kajino). JP: カジノ (kajino).","Slots, Coin-pusher, Mahjong, social casino"
Lifestyle,Mobile,"Expressive, identity and care-oriented play, covering avatar and character customisation, dress-up, home design and virtual pets.",,"Customization, Virtual Pet"
Tabletop,"Mobile, PC","Digital versions of classic table and card games, covering solitaire, chess, board games and coloring. Includes culturally specific variants such as Korea's 고스톱 (Go-Stop) and 맞고 (Matgo).","CN: 桌游 (zhuōyóu), often paired as 棋牌桌游. KR: 보드 (bodeu) and 카드 (kadeu), plus 맞고 (Matgo). JP: ボード (bōdo) and カード (kādo).","Solitaire, Board, Drawing & Coloring"
Sports,"Mobile, console, PC","Realistic and arcade sports simulations, covering football, pool, basketball and management titles.",CN: 体育 (tǐyù). KR: 스포츠 (seupocheu). JP: スポーツ (supōtsu).,"Realistic Sports, Arcade Sports, Sports Manager"
Shooter,"Mobile, PC, console","Aim-and-fire combat, covering battle royale and first and third-person shooters.","CN: 射击 (shèjī). JP: シューティング (shūtingu), abbreviated STG. The KR Play tree has no shooter category.","Battle Royale, FPS/TPS"
Racing,"Mobile, console","Driving and racing games, mostly arcade-style on mobile.","CN: 竞速 (jìngsù). KR: 자동차 경주 (jadongcha gyeongju) on Google Play, 레이싱 (reising) on the App Store. JP: レーシング (rēshingu).",Arcade Racing
Action,Mobile,"Real-time combat and reflex games outside the shooter and arcade buckets, covering hack-and-slash, action sandbox and shoot-'em-up.","CN: 动作 (dòngzuò). KR: 액션 (aeksyeon). JP: アクション (akushon), abbreviated ACT.","Shoot 'em Up, Hack and Slash, Action Sandbox"
Geolocation,Mobile,"Location-based games using real-world movement, GPS and AR.",,Geolocation
Adventure & narrative,"PC, console, stores","Story-led games where progress comes from exploration, dialogue and puzzle-solving rather than combat systems.","CN: 冒险 (màoxiǎn). KR: 어드벤처 (eodeubencheo). JP: アドベンチャー (adobenchā), which names visual novels rather than Western adventure, see Visual novel.","Point-and-click, Walking simulator, Narrative adventure, Interactive fiction"
Survival & crafting,"PC, console","Games built on resource gathering, base construction and persistent threat, usually in an open world with heavy loss on death.",CN: 生存 (shēngcún).,"Open-world survival, Crafting, Extraction, Colony survival"
Fighting,"Console, arcade, esports","One-on-one or small-team melee combat with per-character movesets, built around competitive skill expression.",CN: 格斗 (gédòu).,"2D fighter, 3D fighter, Platform fighter, Arena fighter"
Platformer,"Console, PC","Movement-led games where traversal, jumping and level geometry are the core challenge.",,"2D platformer, 3D platformer, Metroidvania, Precision platformer"
Horror,"PC, console, streaming","Games organised around fear, dread and threat. Defined by tone rather than mechanic, which is what makes it unstable as a category.",CN: 恐怖 (kǒngbù). JP: ホラー (horā).,"Survival horror, Psychological horror, Co-op horror, Analog horror"
Roguelike & roguelite,PC,"Run-based games with procedural generation and loss of progress on death, where some progress carries across runs in the roguelite variant.",CN trees use the Latin terms Roguelike and Roguelite as-is. JP: ローグライク (rōguraiku) and ローグライト (rōguraito).,"Traditional roguelike, Roguelite, Roguelike deckbuilder, Action roguelike"
Party & social deduction,Cross-platform,"Short-session multiplayer games designed for groups, including hidden-role and social-deduction formats.",,"Party, Social deduction, Minigame collection, Quiz"
Visual novel,"Japan, PC","Text-led games where the primary interaction is reading and branching choice, often with limited or no other mechanics.",JP: アドベンチャー (adobenchā).,"Visual novel, Otome, Sound novel"
Rhythm & music,"Japan, Korea, arcade, mobile","Games where input is timed to music, with a strong arcade and mobile presence in Japan and Korea.","CN: 音游 (yīnyóu). KR: 음악 (eumak), the Music category. JP: 音ゲー (ongē), also リズムゲーム (rizumu gēmu).","Rhythm action, Idol rhythm, Instrument, Arcade rhythm"
MMO,"PC, Korea, console","Persistent shared-world games supporting large simultaneous populations, usually subscription or item-shop monetised.",CN trees use MMO as-is.,"MMORPG, MMO sandbox, Social world"
Sandbox & UGC platform,Cross-platform,Platforms where most playable content is made by users rather than the operator. Function as storefronts and social spaces as much as games.,CN: 沙盒 (shāhé).,"UGC platform, Creative sandbox, User-generated worlds"
"Simulation, vehicle and management","PC, console","High-fidelity simulation of vehicles, farming, industry and sports management, usually with long sessions and steep learning curves.",,"Sim racing, Flight sim, Farming sim, Sports management, Colony sim"
Educational & kids,"Stores, mobile","Games made for children and for learning contexts, distributed through store categories rather than vendor genre trees.",KR: 교육 (gyoyuk). JP: 子ども向け (kodomo-muke) and ファミリー (famirī).,"Early learning, Kids entertainment, Classroom"
Indie,Cross-platform,"Not a genre at all. A production and funding descriptor, meaning a game made outside major-publisher structures, which vendor trees carry alongside genres as though it were one.",CN: 独立游戏 (dúlì yóuxì). KR: 인디 (indi) on the App Store.,No subgenres. The term describes who made a game rather than how it plays
Pinball,"Cross-platform, arcade","Digital recreations of physical pinball tables, plus original tables built to the same physics conventions.",,"Table simulation, Original tables, Licensed tables"
Quiz and trivia,"Mobile, cross-platform","Question-and-answer games scored on knowledge and speed, including live and asynchronous multiplayer formats.",KR: 퀴즈 (kwijeu). JP: トリビア (toribia).,"Trivia, Quiz show, Live quiz, Pub quiz"
Word,Mobile,"Games built on vocabulary, spelling and letter manipulation, including crosswords, anagrams and guessing formats.",KR: 단어 (daneo). JP: 単語 (tango).,"Crossword, Anagram, Word search, Guessing"
